tweet_id,tweet_date,text,name,stages_of_dogs,id,source,retweet_count,favorite_count,jpg_url,img_num,breed
892420643555336193,2017-08-01 16:23:56+00:00,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,,,,,,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1.0,
892177421306343426,2017-08-01 00:17:27+00:00,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,,,,,,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1.0,pekinese
891815181378084864,2017-07-31 00:18:03+00:00,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,,8.918151813780849e+17,Twitter for iPhone,4328.0,25461.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1.0,malamute
891689557279858688,2017-07-30 15:58:51+00:00,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,,8.916895572798587e+17,Twitter for iPhone,8964.0,42908.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1.0,labrador_retriever
891327558926688256,2017-07-29 16:00:24+00:00,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,,8.913275589266883e+17,Twitter for iPhone,9774.0,41048.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2.0,english_springer
891087950875897856,2017-07-29 00:08:17+00:00,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,None,,8.910879508758979e+17,Twitter for iPhone,3261.0,20562.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1.0,irish_terrier
890971913173991426,2017-07-28 16:27:12+00:00,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,,,,,,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1.0,border_collie
890729181411237888,2017-07-28 00:22:40+00:00,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,None,,8.907291814112379e+17,Twitter for iPhone,16716.0,56848.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2.0,eskimo_dog
890609185150312448,2017-07-27 16:25:51+00:00,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,,8.906091851503124e+17,Twitter for iPhone,4429.0,28226.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1.0,irish_setter
890240255349198849,2017-07-26 15:59:51+00:00,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,doggo,,,,,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1.0,cardigan
890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,,8.900066081131725e+17,Twitter for iPhone,7624.0,31166.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1.0,pomeranian
